UniProt_id	UniProt_entry
P49815	TSC2_HUMAN
Q9H2D6	TARA_HUMAN
O15379	HDAC3_HUMAN
Q13547	HDAC1_HUMAN
Q96LR5	UB2E2_HUMAN
Q0VDD7	BRME1_HUMAN
P18848	ATF4_HUMAN
Q9BZM3	GSX2_HUMAN
P61278	SMS_HUMAN
P20472	PRVA_HUMAN
Q86WG3	ATCAY_HUMAN
Q5JXC2	MIIP_HUMAN
P17936	IBP3_HUMAN
P14780	MMP9_HUMAN
P10451	OSTP_HUMAN
P52565	GDIR1_HUMAN
Q14289	FAK2_HUMAN
O75116	ROCK2_HUMAN
Q9H1Y3	OPN3_HUMAN
Q8IVI9	NOSTN_HUMAN
Q8NAV1	PR38A_HUMAN
P23560	BDNF_HUMAN
P01588	EPO_HUMAN
Q69YH5	CDCA2_HUMAN
Q99626	CDX2_HUMAN
Q8N1W1	ARG28_HUMAN
P63000	RAC1_HUMAN
P09619	PGFRB_HUMAN
Q14541	HNF4G_HUMAN
Q9UJU5	FOXD3_HUMAN
P35453	HXD13_HUMAN
Q9NSC2	SALL1_HUMAN
P21815	SIAL_HUMAN
P02812	PRB2_HUMAN
P51959	CCNG1_HUMAN
P14210	HGF_HUMAN
P49703	ARL4D_HUMAN
Q2M2I8	AAK1_HUMAN
O75444	MAF_HUMAN
P14923	PLAK_HUMAN
Q16665	HIF1A_HUMAN
Q96SZ6	CK5P1_HUMAN
P09601	HMOX1_HUMAN
P00441	SODC_HUMAN
P08294	SODE_HUMAN
P39905	GDNF_HUMAN
P56539	CAV3_HUMAN
P12034	FGF5_HUMAN
P36888	FLT3_HUMAN
P15529	MCP_HUMAN
P04731	MT1A_HUMAN
P07996	TSP1_HUMAN
P19320	VCAM1_HUMAN
O43318	M3K7_HUMAN
Q96SN8	CK5P2_HUMAN
Q9NRN7	ADPPT_HUMAN
P10523	ARRS_HUMAN
P14136	GFAP_HUMAN
Q7Z3S9	NT2NA_HUMAN
Q9Y618	NCOR2_HUMAN
O43490	PROM1_HUMAN
Q96NL8	CF418_HUMAN
Q9NR61	DLL4_HUMAN
P55317	FOXA1_HUMAN
A0AVK6	E2F8_HUMAN
Q92949	FOXJ1_HUMAN
O14763	TR10B_HUMAN
P02144	MYG_HUMAN
Q15910	EZH2_HUMAN
Q02246	CNTN2_HUMAN
Q92823	NRCAM_HUMAN
P32004	L1CAM_HUMAN
Q8TD84	DSCL1_HUMAN
Q13509	TBB3_HUMAN
Q9NNX6	CD209_HUMAN
Q9HBG6	IF122_HUMAN
Q9H3D4	P63_HUMAN
P43220	GLP1R_HUMAN
P31749	AKT1_HUMAN
P78333	GPC5_HUMAN
P10721	KIT_HUMAN
Q9P1Z3	HCN3_HUMAN
Q16537	2A5E_HUMAN
O75603	GCM2_HUMAN
O14929	HAT1_HUMAN
Q9BWL3	CA043_HUMAN
Q9NRA0	SPHK2_HUMAN
Q5SXM8	DNLZ_HUMAN
